Name;Date;Views;Likes;Dislikes;Link;Pub_date;Episode
 x01 | Cómo ser influencer;2020-03-15;2701;69;7;https://www.youtube.com/watch?v=l1CjJ4UJo-Q&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=2&t=0s;2019-09-27; x01 
 x01 | Cómo ser influencer;2020-03-16;2711;69;7;https://www.youtube.com/watch?v=l1CjJ4UJo-Q&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=2&t=0s;2019-09-27; x01 
 x01 | Cómo ser influencer;2020-03-17;2717;69;7;https://www.youtube.com/watch?v=l1CjJ4UJo-Q&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=2&t=0s;2019-09-27; x01 
 x01 | Cómo ser influencer;2020-03-20;2743;69;7;https://www.youtube.com/watch?v=l1CjJ4UJo-Q&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=2&t=0s;2019-09-27; x01 
 x01 | Cómo ser influencer;2020-03-21;2737;69;7;https://www.youtube.com/watch?v=l1CjJ4UJo-Q&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=2&t=0s;2019-09-27; x01 
 x01 | Cómo ser influencer;2020-03-23;2767;69;7;https://www.youtube.com/watch?v=l1CjJ4UJo-Q&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=2&t=0s;2019-09-27; x01 
 x01 | Cómo ser influencer;2020-03-24;2773;69;7;https://www.youtube.com/watch?v=l1CjJ4UJo-Q&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=2&t=0s;2019-09-27; x01 
 x01 | Cómo ser influencer;2020-03-28;2797;69;7;https://www.youtube.com/watch?v=l1CjJ4UJo-Q&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=2&t=0s;2019-09-27; x01 
 x02 | Cómo vivir de un blog de viajes;2020-03-15;1171;35;0;https://www.youtube.com/watch?v=mfnGYjq15SU&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=3&t=0s;2019-10-04; x02 
 x02 | Cómo vivir de un blog de viajes;2020-03-16;1173;36;0;https://www.youtube.com/watch?v=mfnGYjq15SU&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=3&t=0s;2019-10-04; x02 
 x02 | Cómo vivir de un blog de viajes;2020-03-17;1173;36;0;https://www.youtube.com/watch?v=mfnGYjq15SU&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=3&t=0s;2019-10-04; x02 
 x02 | Cómo vivir de un blog de viajes;2020-03-20;1176;36;0;https://www.youtube.com/watch?v=mfnGYjq15SU&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=3&t=0s;2019-10-04; x02 
 x02 | Cómo vivir de un blog de viajes;2020-03-21;1179;36;0;https://www.youtube.com/watch?v=mfnGYjq15SU&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=3&t=0s;2019-10-04; x02 
 x02 | Cómo vivir de un blog de viajes;2020-03-23;1179;36;0;https://www.youtube.com/watch?v=mfnGYjq15SU&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=3&t=0s;2019-10-04; x02 
 x02 | Cómo vivir de un blog de viajes;2020-03-24;1182;36;0;https://www.youtube.com/watch?v=mfnGYjq15SU&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=3&t=0s;2019-10-04; x02 
 x02 | Cómo vivir de un blog de viajes;2020-03-28;1184;36;0;https://www.youtube.com/watch?v=mfnGYjq15SU&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=3&t=0s;2019-10-04; x02 
 x03 | Cómo montar un catering 🍳 The Good Food Company;2020-03-15;689;19;4;https://www.youtube.com/watch?v=cnVvlY8NGz4&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=4&t=0s;2019-10-11; x03 
 x03 | Cómo montar un catering 🍳 The Good Food Company;2020-03-16;691;20;4;https://www.youtube.com/watch?v=cnVvlY8NGz4&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=4&t=0s;2019-10-11; x03 
 x03 | Cómo montar un catering 🍳 The Good Food Company;2020-03-17;691;20;4;https://www.youtube.com/watch?v=cnVvlY8NGz4&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=4&t=0s;2019-10-11; x03 
 x03 | Cómo montar un catering 🍳 The Good Food Company;2020-03-20;692;20;4;https://www.youtube.com/watch?v=cnVvlY8NGz4&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=4&t=0s;2019-10-11; x03 
 x03 | Cómo montar un catering 🍳 The Good Food Company;2020-03-21;692;20;4;https://www.youtube.com/watch?v=cnVvlY8NGz4&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=4&t=0s;2019-10-11; x03 
 x03 | Cómo montar un catering 🍳 The Good Food Company;2020-03-23;694;20;4;https://www.youtube.com/watch?v=cnVvlY8NGz4&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=4&t=0s;2019-10-11; x03 
 x03 | Cómo montar un catering 🍳 The Good Food Company;2020-03-24;695;20;4;https://www.youtube.com/watch?v=cnVvlY8NGz4&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=4&t=0s;2019-10-11; x03 
 x03 | Cómo montar un catering 🍳 The Good Food Company;2020-03-28;697;20;4;https://www.youtube.com/watch?v=cnVvlY8NGz4&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=4&t=0s;2019-10-11; x03 
 x04 | Cómo petarlo con una marca online ⌚🛒 - C21BeBrave;2020-03-15;721;20;4;https://www.youtube.com/watch?v=S15P65ybukM&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=5&t=0s;2019-10-18; x04 
 x04 | Cómo petarlo con una marca online ⌚🛒 - C21BeBrave;2020-03-16;724;21;4;https://www.youtube.com/watch?v=S15P65ybukM&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=5&t=0s;2019-10-18; x04 
 x04 | Cómo petarlo con una marca online ⌚🛒 - C21BeBrave;2020-03-17;724;21;4;https://www.youtube.com/watch?v=S15P65ybukM&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=5&t=0s;2019-10-18; x04 
 x04 | Cómo petarlo con una marca online ⌚🛒 - C21BeBrave;2020-03-20;725;21;4;https://www.youtube.com/watch?v=S15P65ybukM&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=5&t=0s;2019-10-18; x04 
 x04 | Cómo petarlo con una marca online ⌚🛒 - C21BeBrave;2020-03-21;727;21;4;https://www.youtube.com/watch?v=S15P65ybukM&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=5&t=0s;2019-10-18; x04 
 x04 | Cómo petarlo con una marca online ⌚🛒 - C21BeBrave;2020-03-23;728;21;4;https://www.youtube.com/watch?v=S15P65ybukM&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=5&t=0s;2019-10-18; x04 
 x04 | Cómo petarlo con una marca online ⌚🛒 - C21BeBrave;2020-03-24;732;21;4;https://www.youtube.com/watch?v=S15P65ybukM&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=5&t=0s;2019-10-18; x04 
 x04 | Cómo petarlo con una marca online ⌚🛒 - C21BeBrave;2020-03-28;739;21;4;https://www.youtube.com/watch?v=S15P65ybukM&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=5&t=0s;2019-10-18; x04 
 x05 | ¿Para qué sirve un coach? 💪 💡 - Rocio Calatayud Coaching;2020-03-15;947;42;6;https://www.youtube.com/watch?v=NjZrFZUMp9o&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=6&t=0s;2019-10-25; x05 
 x05 | ¿Para qué sirve un coach? 💪 💡 - Rocio Calatayud Coaching;2020-03-16;948;43;6;https://www.youtube.com/watch?v=NjZrFZUMp9o&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=6&t=0s;2019-10-25; x05 
 x05 | ¿Para qué sirve un coach? 💪 💡 - Rocio Calatayud Coaching;2020-03-17;949;43;6;https://www.youtube.com/watch?v=NjZrFZUMp9o&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=6&t=0s;2019-10-25; x05 
 x05 | ¿Para qué sirve un coach? 💪 💡 - Rocio Calatayud Coaching;2020-03-20;950;43;6;https://www.youtube.com/watch?v=NjZrFZUMp9o&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=6&t=0s;2019-10-25; x05 
 x05 | ¿Para qué sirve un coach? 💪 💡 - Rocio Calatayud Coaching;2020-03-21;950;43;6;https://www.youtube.com/watch?v=NjZrFZUMp9o&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=6&t=0s;2019-10-25; x05 
 x05 | ¿Para qué sirve un coach? 💪 💡 - Rocio Calatayud Coaching;2020-03-23;952;43;6;https://www.youtube.com/watch?v=NjZrFZUMp9o&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=6&t=0s;2019-10-25; x05 
 x05 | ¿Para qué sirve un coach? 💪 💡 - Rocio Calatayud Coaching;2020-03-24;954;43;6;https://www.youtube.com/watch?v=NjZrFZUMp9o&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=6&t=0s;2019-10-25; x05 
 x05 | ¿Para qué sirve un coach? 💪 💡 - Rocio Calatayud Coaching;2020-03-28;956;43;6;https://www.youtube.com/watch?v=NjZrFZUMp9o&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=6&t=0s;2019-10-25; x05 
 x06 | ¿Cómo crear una app que cambie el mundo  📱🎾   Playtomic;2020-03-15;483;24;1;https://www.youtube.com/watch?v=7wdFZk2yHoc&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=7&t=0s;2019-11-01; x06 
 x06 | ¿Cómo crear una app que cambie el mundo  📱🎾   Playtomic;2020-03-16;484;25;1;https://www.youtube.com/watch?v=7wdFZk2yHoc&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=7&t=0s;2019-11-01; x06 
 x06 | ¿Cómo crear una app que cambie el mundo  📱🎾   Playtomic;2020-03-17;484;25;1;https://www.youtube.com/watch?v=7wdFZk2yHoc&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=7&t=0s;2019-11-01; x06 
 x06 | ¿Cómo crear una app que cambie el mundo  📱🎾   Playtomic;2020-03-20;485;25;1;https://www.youtube.com/watch?v=7wdFZk2yHoc&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=7&t=0s;2019-11-01; x06 
 x06 | ¿Cómo crear una app que cambie el mundo  📱🎾   Playtomic;2020-03-21;485;25;1;https://www.youtube.com/watch?v=7wdFZk2yHoc&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=7&t=0s;2019-11-01; x06 
 x06 | ¿Cómo crear una app que cambie el mundo  📱🎾   Playtomic;2020-03-23;486;25;1;https://www.youtube.com/watch?v=7wdFZk2yHoc&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=7&t=0s;2019-11-01; x06 
 x06 | ¿Cómo crear una app que cambie el mundo  📱🎾   Playtomic;2020-03-24;487;25;1;https://www.youtube.com/watch?v=7wdFZk2yHoc&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=7&t=0s;2019-11-01; x06 
 x06 | ¿Cómo crear una app que cambie el mundo  📱🎾   Playtomic;2020-03-28;490;25;1;https://www.youtube.com/watch?v=7wdFZk2yHoc&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=7&t=0s;2019-11-01; x06 
 x07 | ¿Cómo trabajar en cine? De banquero a cineasta 👨‍💼🎥 – Diego Trenas;2020-03-15;844;33;1;https://www.youtube.com/watch?v=dWgsbBlZzYw&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=8&t=0s;2019-11-08; x07 
 x07 | ¿Cómo trabajar en cine? De banquero a cineasta 👨‍💼🎥 – Diego Trenas;2020-03-16;845;34;1;https://www.youtube.com/watch?v=dWgsbBlZzYw&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=8&t=0s;2019-11-08; x07 
 x07 | ¿Cómo trabajar en cine? De banquero a cineasta 👨‍💼🎥 – Diego Trenas;2020-03-17;846;34;1;https://www.youtube.com/watch?v=dWgsbBlZzYw&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=8&t=0s;2019-11-08; x07 
 x07 | ¿Cómo trabajar en cine? De banquero a cineasta 👨‍💼🎥 – Diego Trenas;2020-03-20;846;34;1;https://www.youtube.com/watch?v=dWgsbBlZzYw&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=8&t=0s;2019-11-08; x07 
 x07 | ¿Cómo trabajar en cine? De banquero a cineasta 👨‍💼🎥 – Diego Trenas;2020-03-21;846;34;1;https://www.youtube.com/watch?v=dWgsbBlZzYw&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=8&t=0s;2019-11-08; x07 
 x07 | ¿Cómo trabajar en cine? De banquero a cineasta 👨‍💼🎥 – Diego Trenas;2020-03-24;848;34;1;https://www.youtube.com/watch?v=dWgsbBlZzYw&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=8&t=0s;2019-11-08; x07 
 x07 | ¿Cómo trabajar en cine? De banquero a cineasta 👨‍💼🎥 – Diego Trenas;2020-03-28;851;34;1;https://www.youtube.com/watch?v=dWgsbBlZzYw&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=8&t=0s;2019-11-08; x07 
 x08 | New York Burger, la hamburguesa gourmet más auténtica 🍽 🍔;2020-03-15;882;26;1;https://www.youtube.com/watch?v=BFMoXcJ9TeA&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=9&t=0s;2019-11-15; x08 
 x08 | New York Burger, la hamburguesa gourmet más auténtica 🍽 🍔;2020-03-16;883;26;1;https://www.youtube.com/watch?v=BFMoXcJ9TeA&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=9&t=0s;2019-11-15; x08 
 x08 | New York Burger, la hamburguesa gourmet más auténtica 🍽 🍔;2020-03-17;885;26;1;https://www.youtube.com/watch?v=BFMoXcJ9TeA&list=PLeZfGBk92nGBjxFoHCIdllJN-jj0tAZd7&index=9&t=0s;2019-11-15; x08 
